 =======================================================================================================================
 Table: Nuclear properties of SLy4d model for B=5*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang and Yan-jun Chen
 Article: Role of magnetic fields on the outer crust in a magnetar   doi:10.1088/1674-1137/ad39cc
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is incomplete table predicting the properties of 915 nuclides (Z = 26~50, N/A = 0.53~0.73)
 within the neutron drip line.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
   49       121       170          1171.840
   49       122       171          1172.150
   49       123       172          1172.950
   49       124       173          1172.840
   49       125       174          1171.980
   49       126       175          1173.030
   49       127       176          1173.340
   49       128       177          1173.650
   49       129       178          1172.930
   49       130       179          1173.370
   49       131       180          1168.380
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  50   Sn
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
   50       100       150          1180.810
   50       101       151          1181.050
   50       102       152          1182.210
   50       103       153          1182.220
   50       104       154          1183.250
   50       105       155          1184.120
   50       106       156          1185.430
   50       107       157          1183.860
   50       108       158          1184.500
   50       109       159          1183.630
   50       110       160          1183.980
   50       111       161          1183.280
   50       112       162          1183.600
   50       113       163          1186.660
   50       114       164          1187.230
   50       115       165          1190.080
   50       116       166          1190.400
   50       117       167          1188.290
   50       118       168          1192.650
   50       119       169          1191.740
   50       120       170          1192.420
   50       121       171          1192.170
   50       122       172          1193.340
   50       123       173          1194.330
   50       124       174          1194.340
   50       125       175          1194.150
   50       126       176          1194.770
   50       127       177          1194.680
   50       128       178          1195.290
   50       129       179          1194.450
   50       130       180          1195.340
   50       131       181          1194.050
   50       132       182          1195.050
   50       133       183          1193.790
   50       134       184          1194.570
 --------------------------------------------------------------------------------------------------------------------
 
  Z= ***     
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE
 --------------------------------------------------------------------------------------------------------------------
