 =======================================================================================================================
 Table: Nuclear properties of UNEDF1* model for B=0 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
This is a highly detailed table predicting the properties 3247 nuclides (Z = 26~130, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
  Z=  39   Y 
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   39        45        84           726.130          4.200          4.200           4.19           0.07            0.4
   39        46        85           737.110          4.200          4.200           4.21           0.09            0.7
   39        47        86           748.170          4.200          4.200           4.21           0.06            0.6
   39        48        87           758.390          4.300          4.200           4.23           0.06            1.8
   39        49        88           769.220          4.300          4.200           4.23           0.01           55.2
   39        50        89           778.920          4.300          4.200           4.25           0.00           60.0
   39        51        90           785.840          4.300          4.200           4.27           0.03           31.0
   39        52        91           792.460          4.400          4.200           4.29           0.06           21.1
   39        53        92           799.010          4.400          4.200           4.31           0.07           25.4
   39        54        93           804.870          4.400          4.200           4.35           0.10           23.9
   39        78       117           903.900          5.000          4.500           4.83           0.07            3.8
   39        79       118           906.560          5.000          4.500           4.84           0.05            7.9
   39        80       119           908.540          5.000          4.500           4.86           0.05           16.6
   39        81       120           911.260          5.000          4.500           4.87           0.03           59.5
   39        82       121           912.720          5.100          4.500           4.89           0.04           60.0
   39        83       122           914.050          5.100          4.500           4.92           0.04           36.2
   39        84       123           914.850          5.100          4.500           4.95           0.07           31.7
   39        85       124           916.220          5.200          4.500           4.98           0.07           35.0
   39        86       125           917.270          5.200          4.500           5.01           0.09           31.6
   39        87       126           918.500          5.200          4.500           5.04           0.09           43.2
   39        90       129           921.050          5.200          4.500           5.04           0.09           60.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  40   Zr
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   40        45        85           731.370          4.200          4.200           4.20           0.07            0.7
   40        46        86           742.920          4.200          4.200           4.22           0.09            0.2
   40        47        87           754.520          4.200          4.200           4.22           0.06            1.0
   40        48        88           765.260          4.300          4.200           4.24           0.06            1.6
   40        49        89           776.670          4.300          4.200           4.24           0.00           52.9
   40        50        90           786.890          4.300          4.200           4.26           0.00           60.0
   40        51        91           794.220          4.300          4.200           4.28           0.03           26.3
   40        52        92           801.220          4.400          4.200           4.30           0.06           16.2
   40        53        93           808.160          4.400          4.200           4.32           0.07           22.5
   40        54        94           814.460          4.400          4.300           4.36           0.10           22.3
   40        78       118           922.470          5.000          4.500           4.83           0.07            2.8
   40        79       119           925.480          5.000          4.500           4.84           0.05            6.9
   40        80       120           927.900          5.000          4.500           4.85           0.05           10.1
   40        81       121           930.980          5.000          4.500           4.86           0.02           59.0
   40        82       122           932.970          5.000          4.500           4.88           0.03           60.0
   40        83       123           934.170          5.100          4.500           4.91           0.04           32.3
   40        84       124           935.350          5.100          4.500           4.94           0.06           23.4
   40        85       125           936.680          5.200          4.500           4.97           0.06           28.9
   40        86       126           937.780          5.200          4.500           5.00           0.08           27.7
   40        87       127           939.060          5.200          4.500           5.03           0.08           39.8
   40        90       130           941.860          5.200          4.500           5.09           0.05           60.0
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  41   Nb
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   41        50        91           794.120          4.300          4.200           4.27           0.00           59.6
   41        51        92           801.860          4.300          4.200           4.29           0.03           21.6
   41        52        93           809.280          4.400          4.200           4.31           0.06           11.6
   41        53        94           816.600          4.400          4.300           4.33           0.07           19.2
