 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3*10^17 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4553 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
-------------------------------------------------------------------
 
 
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
   32        50        82           707.685          4.300          4.000           4.17           0.02           54.3
   32        51        83           710.815          4.300          4.000           4.20           0.04           36.7
   32        52        84           718.450          4.300          4.000           4.23           0.05           35.4
   32        53        85           721.850          4.400          4.000           4.25           0.04           27.0
   32        54        86           725.865          4.400          4.100           4.28           0.05           41.7
   32        55        87           729.905          4.400          4.100           4.31           0.04           57.9
   32        56        88           729.970          4.500          4.100           4.33           0.05           48.7
   32        57        89           734.010          4.500          4.100           4.36           0.07           51.7
   32        58        90           730.530          4.600          4.100           4.41           0.11           55.3
   32        59        91           739.265          4.600          4.100           4.42           0.06           43.0
   32        60        92           739.950          4.600          4.200           4.46           0.11           50.9
   32        61        93           743.290          4.700          4.100           4.48           0.06           52.6
   32        62        94           744.550          4.700          4.100           4.51           0.07           56.2
   32        63        95           745.745          4.700          4.200           4.53           0.06           51.5
   32        64        96           744.295          4.700          4.200           4.56           0.07           53.5
   32        65        97           745.855          4.800          4.200           4.59           0.05           56.0
   32        66        98           748.255          4.800          4.200           4.61           0.05           56.0
   32        67        99           750.575          4.800          4.200           4.63           0.03           51.4
   32        68       100           751.600          4.800          4.200           4.65           0.03           55.4
   32        69       101           752.990          4.900          4.200           4.67           0.00           30.6
   32        70       102           753.040          4.900          4.200           4.70           0.01           54.3
   32        71       103           751.660          4.900          4.200           4.71           0.03            9.4
   32        72       104           753.530          4.900          4.300           4.74           0.03            4.1
   32        73       105           754.925          5.000          4.300           4.78           0.08            0.1
   32        74       106           754.295          5.000          4.300           4.79           0.07            0.8
   32        75       107           755.085          5.100          4.300           4.88           0.11            3.5
   32        76       108           755.170          5.100          4.300           4.86           0.09            2.9
   32        77       109           756.080          5.100          4.300           4.92           0.13           15.5
   32        78       110           755.780          5.200          4.300           4.93           0.11           19.2
   32        79       111           756.585          5.200          4.400           4.98           0.15            9.8
   32        80       112           757.250          5.200          4.400           5.00           0.12           12.6
   32        81       113           755.485          5.400          4.300           5.14           0.11           56.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  33   As
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   33        40        73           640.905          4.100          4.000           4.09           0.22           13.5
   33        41        74           652.045          4.100          4.000           4.03           0.02           39.3
   33        42        75           662.240          4.100          4.000           4.05           0.03            2.6
   33        43        76           668.200          4.100          4.000           4.07           0.05            7.0
   33        44        77           677.670          4.200          4.000           4.09           0.07            4.3
   33        45        78           688.140          4.200          4.000           4.11           0.07            5.8
   33        46        79           694.370          4.200          4.000           4.13           0.09            0.3
   33        47        80           702.375          4.200          4.000           4.14           0.07            5.5
   33        48        81           708.770          4.200          4.000           4.16           0.07            3.4
   33        49        82           715.690          4.200          4.000           4.16           0.01            6.2
   33        50        83           719.980          4.300          4.000           4.18           0.01           53.0
   33        51        84           727.010          4.300          4.100           4.21           0.04           24.8
   33        52        85           731.135          4.300          4.100           4.24           0.06           34.8
   33        53        86           737.075          4.400          4.100           4.26           0.04            9.8
   33        54        87           741.025          4.400          4.100           4.28           0.05           25.4
   33        55        88           745.350          4.400          4.100           4.31           0.03           56.0
   33        56        89           745.440          4.500          4.100           4.34           0.05           49.6
   33        57        90           747.285          4.500          4.100           4.37           0.07           50.6
   33        58        91           752.005          4.500          4.200           4.42           0.13           55.8
   33        59        92           753.755          4.600          4.200           4.43           0.09           53.2
   33        60        93           758.425          4.600          4.200           4.46           0.12           59.5
   33        61        94           759.530          4.600          4.200           4.48           0.07           55.7
   33        62        95           761.875          4.700          4.200           4.51           0.08           57.1
   33        63        96           762.650          4.700          4.200           4.53           0.07           51.3
   33        64        97           764.140          4.700          4.200           4.55           0.08           50.1
   33        65        98           762.655          4.800          4.200           4.58           0.06           54.6
   33        66        99           766.710          4.800          4.200           4.60           0.06           56.3
   33        67       100           769.755          4.800          4.200           4.62           0.03           45.0
   33        68       101           773.100          4.800          4.200           4.64           0.03           49.8
   33        69       102           772.860          4.800          4.200           4.66           0.01            6.8
   33        70       103           775.105          4.900          4.300           4.68           0.00           57.9
   33        71       104           774.100          4.900          4.300           4.70           0.03            5.2
   33        72       105           775.190          4.900          4.300           4.72           0.03            2.4
   33        73       106           776.625          5.000          4.300           4.76           0.09            1.4
   33        74       107           777.635          5.000          4.300           4.77           0.06            2.8
   33        75       108           777.145          5.000          4.300           4.81           0.11            1.3
   33        76       109           777.810          5.000          4.300           4.82           0.09            0.5
   33        77       110           778.655          5.000          4.400           4.86           0.12            7.0
   33        78       111           777.385          5.100          4.400           4.86           0.09            8.8
   33        79       112           782.080          5.200          4.400           4.94           0.14            7.1
   33        80       113           779.255          5.200          4.400           4.95           0.11           16.4
   33        81       114           779.575          5.200          4.400           5.02           0.13           58.5
   33        82       115           779.400          5.300          4.400           5.03           0.11           55.8
   33        83       116           781.130          5.300          4.400           5.06           0.11           45.2
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  34   Se
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   34        40        74           648.790          4.100          4.100           4.10           0.22           16.9
   34        41        75           659.590          4.100          4.000           4.05           0.03           58.8
   34        42        76           667.930          4.100          4.000           4.07           0.04           58.0
   34        43        77           678.565          4.100          4.000           4.09           0.08            0.7
   34        44        78           684.995          4.200          4.000           4.11           0.08            0.1
   34        45        79           693.755          4.200          4.000           4.13           0.09            0.3
   34        46        80           703.840          4.200          4.100           4.14           0.10            1.4
   34        47        81           713.970          4.200          4.100           4.15           0.08            0.6
   34        48        82           718.305          4.200          4.100           4.17           0.08            4.0
   34        49        83           725.555          4.200          4.100           4.18           0.02            2.3
   34        50        84           735.395          4.300          4.100           4.19           0.00           16.6
   34        51        85           735.305          4.300          4.100           4.22           0.04           31.1
   34        52        86           739.215          4.300          4.100           4.24           0.06           28.0
   34        53        87           748.720          4.400          4.100           4.26           0.05            9.8
   34        54        88           749.670          4.400          4.100           4.29           0.06           19.3
   34        55        89           758.515          4.400          4.100           4.31           0.04           53.0
   34        56        90           760.615          4.500          4.100           4.34           0.05           48.4
   34        57        91           762.295          4.500          4.200           4.37           0.08           50.1
   34        58        92           769.370          4.500          4.200           4.42           0.13           56.1
   34        59        93           768.845          4.600          4.200           4.43           0.09           54.2
   34        60        94           772.990          4.600          4.200           4.46           0.11           58.7
   34        61        95           776.860          4.600          4.200           4.48           0.08           56.2
   34        62        96           779.320          4.700          4.200           4.50           0.08           56.9
   34        63        97           781.790          4.700          4.200           4.52           0.07           53.3
   34        64        98           781.440          4.700          4.200           4.55           0.08           49.5
   34        65        99           784.320          4.700          4.200           4.57           0.07           50.2
   34        66       100           787.615          4.800          4.200           4.59           0.06           56.3
   34        67       101           789.995          4.800          4.200           4.61           0.03           59.6
   34        68       102           790.865          4.800          4.300           4.63           0.03           53.5
   34        69       103           795.185          4.800          4.300           4.65           0.01            1.0
   34        70       104           795.640          4.800          4.300           4.67           0.00            5.5
   34        71       105           794.390          4.900          4.300           4.69           0.03            4.2
   34        72       106           797.430          4.900          4.300           4.71           0.03            2.7
   34        73       107           798.605          4.900          4.300           4.75           0.09            0.5
   34        74       108           800.745          4.900          4.300           4.76           0.07            1.2
   34        75       109           799.875          5.000          4.400           4.79           0.11            1.2
   34        76       110           796.955          5.000          4.400           4.80           0.09            1.2
   34        77       111           800.585          5.000          4.400           4.83           0.11            2.5
   34        78       112           799.465          5.000          4.400           4.84           0.09            1.7
   34        79       113           803.685          5.100          4.400           4.90           0.13            3.7
   34        80       114           804.505          5.100          4.400           4.90           0.10           15.8
   34        81       115           804.635          5.200          4.400           4.96           0.10           53.9
   34        82       116           800.040          5.200          4.400           4.98           0.10           57.1
   34        83       117           803.810          5.200          4.400           5.01           0.10           40.9
   34        84       118           802.575          5.200          4.400           5.03           0.10           49.4
   34        85       119           806.560          5.300          4.400           5.06           0.10           50.7
   34        86       120           806.330          5.300          4.400           5.09           0.10           48.1
 --------------------------------------------------------------------------------------------------------------------
 
  Z=  35   Br
 
 --------------------------------------------------------------------------------------------------------------------
   Z         N         A              BE              Rn             Rp              Rt            beta           gamma
 --------------------------------------------------------------------------------------------------------------------
   35        45        80           685.510          4.200          4.100           4.16           0.09            0.9
   35        46        81           714.430          4.200          4.100           4.16           0.11            3.4
   35        47        82           722.980          4.200          4.100           4.17           0.09            3.3
   35        48        83           730.420          4.200          4.100           4.18           0.08            4.6
   35        49        84           740.485          4.200          4.100           4.19           0.04            1.7
