 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=4*10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of 4601 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   30   50   80      666.200        4.300        4.000         4.15         0.01         59.3        0.180        5.300
   30   51   81      674.250        4.300        4.000         4.19         0.05         27.7        8.050        8.230
   30   52   82      677.165        4.300        4.000         4.22         0.08         19.1        2.915       10.965
   30   53   83      680.230        4.400        4.000         4.25         0.08         24.1        3.065        5.980
   30   54   84      682.795        4.400        4.000         4.28         0.09         26.3        2.565        5.630
   30   55   85      685.900        4.500        4.000         4.31         0.08         58.6        3.105        5.670
   30   56   86      688.255        4.500        4.000         4.34         0.08         60.0        2.355        5.460
   30   57   87      689.200        4.500        4.100         4.38         0.11         58.8        0.945        3.300
   30   58   88      690.215        4.600        4.100         4.43         0.14         59.9        1.015        1.960
   30   59   89      693.000        4.600        4.000         4.43         0.07         32.7        2.785        3.800
   30   60   90      693.690        4.700        4.100         4.47         0.10         39.9        0.690        3.475
   30   61   91      696.050        4.700        4.100         4.49         0.06         59.0        2.360        3.050
   30   62   92      696.775        4.700        4.100         4.52         0.09         59.9        0.725        3.085
   30   63   93      697.430        4.800        4.100         4.56         0.08         52.4        0.655        1.380
   30   64   94      697.345        4.800        4.100         4.58         0.09         49.9       -0.085        0.570
   30   65   95      699.270        4.800        4.100         4.62         0.05         59.8        1.925        1.840
   30   66   96      699.370        4.800        4.100         4.64         0.06         59.7        0.100        2.025
   30   67   97      699.390        4.900        4.200         4.66         0.04         58.5        0.020        0.120
   30   68   98      699.375        4.900        4.200         4.68         0.03         52.7       -0.015        0.005
   30   69   99      699.950        4.900        4.200         4.70         0.00          6.5        0.575        0.560
   30   70  100      699.950        4.900        4.200         4.72         0.00          3.2                     0.575
   30   71  101      699.060        5.000        4.200         4.76         0.02          3.1       -0.890       -0.890
   30   72  102      698.565        5.000        4.200         4.77         0.05          0.5       -0.495       -1.385
   30   73  103      699.340        5.100        4.200         4.89         0.11          0.1        0.775        0.280
   30   74  104      698.155        5.100        4.300         4.84         0.09          0.2       -1.185       -0.410
   30   75  105      699.825        5.300        4.300         5.02         0.15          4.6        1.670        0.485
